nomedepartamento;nomelinha;sublinha;no_gerencia;gerencia;categoria;subcategoria
Esporte e Lazer;Acessórios de Treino;acessorios de treino;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Acessórios de Treino;Acessórios de Treino;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Acessórios de Treino;Acessórios para Ciclistas;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Acessórios de Treino;Acessórios para Ginástica;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Acessórios de Treino;Anilhas, Halteres, Pesos, Barras, Outros;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Acessórios de Treino;Boxe;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Acessórios de Treino;Coqueteleiras;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Acessórios de Treino;Criados-mudo;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Acessórios de Treino;Cuecas;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Acessórios de Treino;Fitness Acessórios;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Acessórios de Treino;Lancheiras e Squeezes;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Acessórios de Treino;Nicho e Prateleira Infantil;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Acessórios de Treino;Ofertas de Parceiros;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Acessórios de Treino;Potes, Pratos e Talheres;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Acessórios de Treino;Acessórios e Equipamentos;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Acessórios de Treino;Acessórios para Motos;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Acessórios de Treino;Aparelhos de Força;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Acessórios de Treino;Badminton;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Acessórios de Treino;Cronômetros;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Acessórios de Treino;Infantil - de 4 a 10 anos;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Acessórios de Treino;Luvas Esportivas;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Acessórios de Treino;Massa Muscular;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Acessórios de Treino;Outras Ocasiões;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Acessórios de Treino;Peças em EVA;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Acessórios de Treino;Refresqueiras;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Acessórios de Treino;Soundbar;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Acessórios de Treino;Steppers;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Bicicletas;::unspecified::;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Bicicletas
Esporte e Lazer;Bicicletas;Acessórios para Ciclistas;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Bicicletas
Esporte e Lazer;Bicicletas;Aro 12;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Bicicletas
Esporte e Lazer;Bicicletas;Aro 20;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Bicicletas
Esporte e Lazer;Bicicletas;Aro 24;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Bicicletas
Esporte e Lazer;Bicicletas;Aro 26;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Bicicletas
Esporte e Lazer;Bicicletas;Aro 27;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Bicicletas
Esporte e Lazer;Bicicletas;Aro 29;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Bicicletas
Esporte e Lazer;Bicicletas;Aro 700;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Bicicletas
Esporte e Lazer;Bicicletas;Bicicletas;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Bicicletas
Esporte e Lazer;Bicicletas;Bicicletas Dobráveis;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Bicicletas
Esporte e Lazer;Bicicletas;Bicicletas Elétricas;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Bicicletas
Esporte e Lazer;Bicicletas;Bicicletas Motorizadas;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Bicicletas
Esporte e Lazer;Bicicletas;Bicicletas Triciclos;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Bicicletas
Esporte e Lazer;Bicicletas;Peças para Bicicleta;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Bicicletas
Esporte e Lazer;Camping e Aventura;::unspecified::;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Camping e Aventura
Esporte e Lazer;Camping e Aventura;Acessórios e Equipamentos;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Camping e Aventura
Esporte e Lazer;Camping e Aventura;Barracas;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Camping e Aventura
Esporte e Lazer;Camping e Aventura;Camping & Aventura;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Camping e Aventura
Esporte e Lazer;Camping e Aventura;Canoagem;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Camping e Aventura
Esporte e Lazer;Camping e Aventura;Colchões Infláveis e Colchonetes;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Camping e Aventura
Esporte e Lazer;Camping e Aventura;Corrida de Aventura;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Camping e Aventura
Esporte e Lazer;Camping e Aventura;Escalada;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Camping e Aventura
Esporte e Lazer;Camping e Aventura;Lanternas;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Camping e Aventura
Esporte e Lazer;Camping e Aventura;Lonas;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Camping e Aventura
Esporte e Lazer;Camping e Aventura;Sacos de Dormir;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Camping e Aventura
Esporte e Lazer;Esportes de Raquete;::unspecified::;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Esportes de Raquete;Badminton;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Esportes de Raquete;Esportes de Raquete;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Esportes de Raquete;Padel;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Esportes de Raquete;Raqueteira e Mochila;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Esportes de Raquete;Squash;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Esportes de Raquete;Tênis;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Esportes de Raquete;Tênis de Mesa;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Esportes de Raquete;Tênis de Praia;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Esportes Radicais;::unspecified::;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Esportes Radicais;Patins;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Esportes Radicais;Skates;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Esportes Radicais;Surf;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Esportes Radicais;Parapente ou Paraglider;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Fitness;::unspecified::;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Fitness e Musculação
Esporte e Lazer;Fitness;Academias e Estações de Ginástica;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Fitness e Musculação
Esporte e Lazer;Fitness;Acessórios para Ginástica;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Fitness e Musculação
Esporte e Lazer;Fitness;Anilhas, Halteres, Pesos, Barras, Outros;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Fitness e Musculação
Esporte e Lazer;Fitness;Aparelhos Abdominais;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Fitness e Musculação
Esporte e Lazer;Fitness;Aparelhos de Força;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Fitness e Musculação
Esporte e Lazer;Fitness;Aparelhos Elípticos;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Fitness e Musculação
Esporte e Lazer;Fitness;Bicicletas Ergométricas;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Fitness e Musculação
Esporte e Lazer;Fitness;Bolsas e Mochilas;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Fitness e Musculação
Esporte e Lazer;Fitness;Camas Elásticas e Trampolins;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Fitness e Musculação
Esporte e Lazer;Fitness;Esteiras Ergométricas;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Fitness e Musculação
Esporte e Lazer;Fitness;Fitness;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Fitness e Musculação
Esporte e Lazer;Fitness;Fitness Acessórios;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Fitness e Musculação
Esporte e Lazer;Fitness;Pilates e Ioga;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Fitness e Musculação
Esporte e Lazer;Fitness;Plataforma Vibratória;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Fitness e Musculação
Esporte e Lazer;Fitness;Simuladores de Caminhada;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Fitness e Musculação
Esporte e Lazer;Fitness;Steppers;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Fitness e Musculação
Esporte e Lazer;Fitness;Peças para Equipamentos de Ginástica;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Fitness e Musculação
Esporte e Lazer;Futebol;::unspecified::;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Futebol;Bandeira;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Futebol;Bolas;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Futebol;Chuteiras;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Futebol;Equipamentos para Futebol;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Futebol;Futsal;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Futebol;Luva;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Futebol;Souvenirs e Presentes;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Futebol;Times Internacionais;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Futebol;Times Nacionais;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Futebol;Casual;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Futebol;Futebol;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Futebol;Seleções;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Jogos de Salão;::unspecified::;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Jogos
Esporte e Lazer;Jogos de Salão;Baralho;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Jogos
Esporte e Lazer;Jogos de Salão;Dominó;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Jogos
Esporte e Lazer;Jogos de Salão;Futebol de Botão;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Jogos
Esporte e Lazer;Jogos de Salão;Jogo de Dardo;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Jogos
Esporte e Lazer;Jogos de Salão;Jogos de Salão;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Jogos
Esporte e Lazer;Jogos de Salão;Mesa de Jogos;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Jogos
Esporte e Lazer;Jogos de Salão;Pebolim;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Jogos
Esporte e Lazer;Jogos de Salão;Sinuca;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Jogos
Esporte e Lazer;Jogos de Tabuleiro;Acessórios;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Jogos
Esporte e Lazer;Jogos de Tabuleiro;Jogos;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Jogos
Esporte e Lazer;Jogos de Tabuleiro;NA;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Jogos
Esporte e Lazer;Livros Importados;Esteiras Ergométricas;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Lutas e Artes Marciais;::unspecified::;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Lutas e Artes Marciais;Boxe;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Lutas e Artes Marciais;Hapkido;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Lutas e Artes Marciais;Jiu Jitsu;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Lutas e Artes Marciais;Judô;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Lutas e Artes Marciais;Karatê;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Lutas e Artes Marciais;MMA;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Lutas e Artes Marciais;Muai Thai;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Lutas e Artes Marciais;Taekwondo;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Lutas e Artes Marciais;Kung Fu;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Lutas e Artes Marciais;Aikido;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Lutas e Artes Marciais;Kendo;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Lutas e Artes Marciais;Lutas e Artes Marciais;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Mergulho;::unspecified::;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Mergulho;Acessórios para Mergulho;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Mergulho;Coletes;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Mergulho;Conjuntos para Mergulho;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Mergulho;Máscaras;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Mergulho;Mergulho;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Mergulho;Nadadeiras;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Mergulho;Respiradores;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Mergulho;Roupas para Mergulho;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Monitores e Acessórios;::unspecified::;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Monitores e Acessórios
Esporte e Lazer;Monitores e Acessórios;Acessórios;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Monitores e Acessórios
Esporte e Lazer;Monitores e Acessórios;Camisolas;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Monitores e Acessórios
Esporte e Lazer;Monitores e Acessórios;Cronômetros;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Monitores e Acessórios
Esporte e Lazer;Monitores e Acessórios;Monitores Cardíacos;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Monitores e Acessórios
Esporte e Lazer;Monitores e Acessórios;Monitores de Atividades;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Monitores e Acessórios
Esporte e Lazer;Monitores e Acessórios;Pedômetros;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Monitores e Acessórios
Esporte e Lazer;Monitores e Acessórios;Monitores e Acessórios;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Monitores e Acessórios
Esporte e Lazer;Natação;Acessórios de Natação;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Natação;Óculos de Natação;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Natação;Roupas de Banho;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Natação;NA;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Natação;Natação;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Outros Esportes;Baseball;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Outros Esportes;Basquete;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Outros Esportes;Futebol Americano e Rugby;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Outros Esportes;Futevôlei;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Outros Esportes;Golfe;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Outros Esportes;Handball;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Outros Esportes;Montaria;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Outros Esportes;Patinetes;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Outros Esportes;Slackline;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Outros Esportes;Tiro Esportivo;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Outros Esportes;Vôlei;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Outros Esportes;NA;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Pesca Esportiva;::unspecified::;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Pesca Esportiva;Acessórios para Pesca;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Pesca Esportiva;Anzóis;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Pesca Esportiva;Carretilhas;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Pesca Esportiva;Conjuntos e Jogos de Pesca;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Pesca Esportiva;Iscas Artificiais;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Pesca Esportiva;Linhas;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Pesca Esportiva;Molinetes;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Pesca Esportiva;Motores;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Pesca Esportiva;Pesca Esportiva;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Pesca Esportiva;Varas;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Pesca Esportiva;Iscas Naturais e Massas;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Pesca Esportiva;Tiro Esportivo;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Esportes
Esporte e Lazer;Praia e Piscina;::unspecified::;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Praia e Piscina
Esporte e Lazer;Praia e Piscina;Acessórios;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Praia e Piscina
Esporte e Lazer;Praia e Piscina;Boias e Infláveis;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Praia e Piscina
Esporte e Lazer;Praia e Piscina;Cadeiras;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Praia e Piscina
Esporte e Lazer;Praia e Piscina;Frescobol;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Praia e Piscina
Esporte e Lazer;Praia e Piscina;Guarda-sol e Ombrelone;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Praia e Piscina
Esporte e Lazer;Praia e Piscina;Piscinas;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Praia e Piscina
Esporte e Lazer;Praia e Piscina;Piscinas Infantis;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Praia e Piscina
Esporte e Lazer;Praia e Piscina;Praia e Piscina;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Praia e Piscina
Esporte e Lazer;Praia e Piscina;Tendas e Gazebos;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Camping e Aventura
Esporte e Lazer;Praia e Piscina;Controles e Acessórios;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Praia e Piscina
Esporte e Lazer;Rede de Descanso e Acessórios;Acessórios para Redes;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Rede de Descanso e Acessórios;Rede de Descanso;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Roupas Esportivas;::unspecified::;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Roupas Esportivas;Agasalhos, Blusões e Jaquetas;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Roupas Esportivas;Bonés e Viseiras;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Roupas Esportivas;Calças Esportivas;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Roupas Esportivas;Camisetas Esportivas;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Roupas Esportivas;Luvas Esportivas;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Roupas Esportivas;Macacões;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Roupas Esportivas;Roupas de Compressão;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Roupas Esportivas;Roupas Esportivas;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Roupas Esportivas;Shorts e Bermudas Esportivas;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Roupas Esportivas;Tops;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Roupas Esportivas;Vestidos e Saias;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Suplementos Alimentares;::unspecified::;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Suplementos Alimentares
Esporte e Lazer;Suplementos Alimentares;Emagrecimento;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Suplementos Alimentares
Esporte e Lazer;Suplementos Alimentares;Energia e Resistência;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Suplementos Alimentares
Esporte e Lazer;Suplementos Alimentares;Massa Muscular;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Suplementos Alimentares
Esporte e Lazer;Suplementos Alimentares;Proteínas;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Suplementos Alimentares
Esporte e Lazer;Suplementos Alimentares;Quarto do bebê;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Suplementos Alimentares
Esporte e Lazer;Suplementos Alimentares;Suplementos Alimentares;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Suplementos Alimentares
Esporte e Lazer;Suplementos Alimentares;Vitaminas e Fitoterápicos;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Suplementos Alimentares
Esporte e Lazer;Suplementos Alimentares;Acessórios;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Suplementos Alimentares
Esporte e Lazer;Veículos Motorizados;::unspecified::;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Veículos Motorizados
Esporte e Lazer;Veículos Motorizados;Mini Motos;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Veículos Motorizados
Esporte e Lazer;Veículos Motorizados;Mini Quadriciclos;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Veículos Motorizados
Esporte e Lazer;Veículos Motorizados;Scooter e Patinete;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Veículos Motorizados
Esporte e Lazer;Veículos Motorizados;Skate Elétrico;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Veículos Motorizados
Esporte e Lazer;Veículos Motorizados;Veículos Motorizados;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Veículos Motorizados
Esporte e Lazer;Veículos Motorizados;Kart;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Veículos Motorizados
Esporte e Lazer;Veículos Motorizados;Motocicletas;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Veículos Motorizados
Esporte e Lazer;;;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
Esporte e Lazer;Acessórios de Proteção;;8;CL - Bebê/Brinquedos/E&L;Esporte & Lazer;Outros
