nomedepartamento;nomelinha;sublinha;no_gerencia;gerencia;categoria;subcategoria
Alimentos;Farinhas e Grãos;Farináceos de Mandioca;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Farinhas e Grãos;Farináceos de Milho;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Farinhas e Grãos;Farináceos de Trigo;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Farinhas e Grãos;Farinhas e Grãos;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Farinhas e Grãos;Farofas Prontas;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Farinhas e Grãos;Fermentos;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Frutas em Conservas;::unspecified::;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Frutas em Conservas;Frutas em Conservas;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Frutas Secas;::unspecified::;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Frutas Secas;Frutas Secas;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Frutas Secas;Complementos Alimentares;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Frutas Secas;Ofertas de Parceiros;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Frutas Secas;Salgadinhos e Batatas;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Kits Sadia e Perdigão;kits sadia e perdigao;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Massas;Caseiras e Integrais;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Massas;Macarrão Instantâneo;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Massas;Massas com Ovos e Massas de Sêmola;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Massas;Massas de Grano Duro;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Massas;Massas para Lasanha;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Matinais;::unspecified::;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Matinais;Achocolatados em Pó;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Matinais;Cafés;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Matinais;Geleias;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Matinais;Leite;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Matinais;Matinais;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Matinais;Mel e Derivados;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Ovo de Páscoa;::unspecified::;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Ovo de Páscoa;Ofertas de Parceiros;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Ovo de Páscoa;ovo de pascoa;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Padaria;Biscoitos e Torradas;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Padaria;Pães Diversos;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Padaria;NA;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Padaria;Pães de Forma;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Padaria;Pães Doces;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Padaria;Pães para Lanches;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Panettones e Chocottones;::unspecified::;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Panettones e Chocottones;panettones e chocottones;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Panettones e Chocottones;Lustres e Pendentes;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Sopas e Cremes;NA;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Sopas e Cremes;Novidades em Alimentos;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Alimentos Básicos;;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Azeite;;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Bomboniere;;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Cesta de Natal;;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Colomba Pascal;;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Condimentos e Conservas;;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Farinhas e Grãos;;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Frutas em Conservas;;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Frutas Secas;;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Frutas Secas;Barra de cereal;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Matinais;;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Ovo de Páscoa;;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Padaria;;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Panettones e Chocottones;;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Alimentos;Sopas e Cremes;;9;CL - CAMEBA/UD/3P;Puro 3P;Alimentos
Ar e Ventilação;Acessórios para Ar e Ventilação;::unspecified::;5;Portáteis / Beleza & Saúde;Ventilação;Outros
Ar e Ventilação;Acessórios para Ar e Ventilação;Acessórios;5;Portáteis / Beleza & Saúde;Ventilação;Outros
Ar e Ventilação;Acessórios para Ar e Ventilação;acessorios para ar condicionado;5;Portáteis / Beleza & Saúde;Ventilação;Outros
Ar e Ventilação;Acessórios para Ar e Ventilação;Acessórios para Ar e Ventilação;5;Portáteis / Beleza & Saúde;Ventilação;Outros
Ar e Ventilação;Acessórios para Ar e Ventilação;Controles Remoto para TVs;5;Portáteis / Beleza & Saúde;Ventilação;Outros
Ar e Ventilação;Acessórios para Ar e Ventilação;Diversos;5;Portáteis / Beleza & Saúde;Ventilação;Outros
Ar e Ventilação;Acessórios para Ar e Ventilação;Ofertas de Parceiros;5;Portáteis / Beleza & Saúde;Ventilação;Outros
Ar e Ventilação;Acessórios para Ar e Ventilação;Placas de Sinalização;5;Portáteis / Beleza & Saúde;Ventilação;Outros
Ar e Ventilação;Acessórios para Ar e Ventilação;Ventilador de Teto;5;Portáteis / Beleza & Saúde;Ventilação;Outros
Ar e Ventilação;Acessórios para Ar e Ventilação;Contos, Crônicas e Ensaios;5;Portáteis / Beleza & Saúde;Ventilação;Outros
Ar e Ventilação;Acessórios para Ar e Ventilação;King;5;Portáteis / Beleza & Saúde;Ventilação;Outros
Ar e Ventilação;Aquecedores;::unspecified::;5;Portáteis / Beleza & Saúde;Aquecedores;Aquecedor Cerâmica
Ar e Ventilação;Aquecedores;A Óleo;5;Portáteis / Beleza & Saúde;Aquecedores;Aquecedor a Óleo
Ar e Ventilação;Aquecedores;Aquecedores;5;Portáteis / Beleza & Saúde;Aquecedores;Aquecedor Cerâmica
Ar e Ventilação;Aquecedores;Cerâmica;5;Portáteis / Beleza & Saúde;Aquecedores;Aquecedor Cerâmica
Ar e Ventilação;Aquecedores;Elétrico;5;Portáteis / Beleza & Saúde;Aquecedores;Aquecedor Halógeno
Ar e Ventilação;Aquecedores;Lareiras;5;Portáteis / Beleza & Saúde;Aquecedores;Aquecedor Cerâmica
Ar e Ventilação;Ar-Condicionado;::unspecified::;2;Linha Branca;Acessórios Linha Branca;Acessórios Linha Branca
Ar e Ventilação;Ar-Condicionado;Ar-Condicionado;2;Linha Branca;Acessórios Linha Branca;Acessórios Linha Branca
Ar e Ventilação;Ar-Condicionado;Cassete;2;Linha Branca;Ar Condicionado;Split On/Off
Ar e Ventilação;Ar-Condicionado;Inverter;2;Linha Branca;Ar Condicionado;Split Inverter
Ar e Ventilação;Ar-Condicionado;Janela;2;Linha Branca;Ar Condicionado;Janela
Ar e Ventilação;Ar-Condicionado;Multi-Split;2;Linha Branca;Ar Condicionado;Split Comercial
Ar e Ventilação;Ar-Condicionado;Piso-Teto;2;Linha Branca;Ar Condicionado;Janela
Ar e Ventilação;Ar-Condicionado;Portátil;2;Linha Branca;Ar Condicionado;Portátil
Ar e Ventilação;Ar-Condicionado;Split;2;Linha Branca;Ar Condicionado;Split Comercial
Ar e Ventilação;Ar-Condicionado;Aquecedores a Gás;5;Portáteis / Beleza & Saúde;Aquecedores;Aquecedor Cerâmica
Ar e Ventilação;Climatizadores;::unspecified::;2;Linha Branca;Climatizador;Climatizador
Ar e Ventilação;Climatizadores;Blusas;2;Linha Branca;Climatizador;Climatizador
Ar e Ventilação;Climatizadores;Climatizadores;2;Linha Branca;Climatizador;Climatizador
Ar e Ventilação;Climatizadores;Acessórios;2;Linha Branca;Climatizador;Climatizador
Ar e Ventilação;Climatizadores;Ofertas de Parceiros;2;Linha Branca;Climatizador;Climatizador
Ar e Ventilação;Climatizadores;Protetores para Motos;2;Linha Branca;Climatizador;Climatizador
Ar e Ventilação;Cortina de Ar;::unspecified::;2;Linha Branca;Cortina de Ar;Cortina de Ar
Ar e Ventilação;Cortina de Ar;Ar-Condicionado;2;Linha Branca;Cortina de Ar;Cortina de Ar
Ar e Ventilação;Cortina de Ar;Cortina de Ar;2;Linha Branca;Cortina de Ar;Cortina de Ar
Ar e Ventilação;Cortina de Ar;Ofertas de Parceiros em Ar e Ventilação;2;Linha Branca;Cortina de Ar;Cortina de Ar
Ar e Ventilação;Cortina de Ar;Ofertas de Parceiros;2;Linha Branca;Cortina de Ar;Cortina de Ar
Ar e Ventilação;NA;NA;5;Portáteis / Beleza & Saúde;Ventilação;Outros
Ar e Ventilação;Ventiladores e Circuladores;::unspecified::;5;Portáteis / Beleza & Saúde;Ventilação;Ventilador Mesa
Ar e Ventilação;Ventiladores e Circuladores;Circulador de Ar;5;Portáteis / Beleza & Saúde;Ventilação;Ventilador Mesa
Ar e Ventilação;Ventiladores e Circuladores;Exaustores;5;Portáteis / Beleza & Saúde;Ventilação;Outros
Ar e Ventilação;Ventiladores e Circuladores;Ventilador de Coluna;5;Portáteis / Beleza & Saúde;Ventilação;Ventilador Coluna
Ar e Ventilação;Ventiladores e Circuladores;Ventilador de Mesa;5;Portáteis / Beleza & Saúde;Ventilação;Ventilador Mesa
Ar e Ventilação;Ventiladores e Circuladores;Ventilador de Parede;5;Portáteis / Beleza & Saúde;Ventilação;Ventilador Parede
Ar e Ventilação;Ventiladores e Circuladores;Ventilador de Teto;5;Portáteis / Beleza & Saúde;Ventilação;Ventilador Teto
Ar e Ventilação;Ventiladores e Circuladores;Ventilador de Torre;5;Portáteis / Beleza & Saúde;Ventilação;Ventilador Coluna
Ar e Ventilação;Ventiladores e Circuladores;Ventiladores e Circuladores;5;Portáteis / Beleza & Saúde;Ventilação;Ventilador Mesa
Ar e Ventilação;;;5;Portáteis / Beleza & Saúde;Ventilação;Outros
Ar e Ventilação;Acessórios para Ar e Ventilação;;5;Portáteis / Beleza & Saúde;Ventilação;Outrod
Ar e Ventilação;Aquecedores;;5;Portáteis / Beleza & Saúde;Aquecedores;Aquecedores
Ar e Ventilação;Ar-Condicionado;;2;Linha Branca;Ar Condicionado;Split Comercial
Ar e Ventilação;Climatizadores;;2;Linha Branca;Climatizador;Climatizador
Ar e Ventilação;Cortina de Ar;;2;Linha Branca;Cortina de Ar;Cortina de Ar
Ar e Ventilação;Ventiladores e Circuladores;;5;Portáteis / Beleza & Saúde;Ventilação;Outros
Artesanato;Agulhas;::unspecified::;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;Agulhas;Auxiliar;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;Agulhas;Circular;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;Agulhas;Mão;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;Agulhas;Tradicional;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;Agulhas;Agulhas;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;Agulhas;Duas Pontas;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;Biscuit;Acessórios para Biscuit;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;Biscuit;Colas e Cremes;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;Biscuit;Cortador, Marcador e Molde;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;Biscuit;Massas para Biscuit;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;Biscuit;Maleta do Artesão;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;Bordado;::unspecified::;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;Bordado;Acessórios para Bordar;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;Bordado;Bastidor;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;Bordado;Fitas para Bordar;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;Bordado;Linhas para Bordado;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;Bordado;Pedraria;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;Bordado;Sianinhas;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;Bordado;Bordado;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;Crochê e Tricô;Acessórios para Crochê e Tricô;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;Crochê e Tricô;Barbantes;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;Crochê e Tricô;Fios de Inverno;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;Crochê e Tricô;Linhas de Verão;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;Crochê e Tricô;Teares;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
Artesanato;Crochê e Tricô;NA;9;CL - CAMEBA/UD/3P;Puro 3P;Artesanato
