id,createdat,data,bandeira,hour,iddepartamento,nomedepartamento,idlinha,nomelinha,idsublinha,nomesublinha,canalmis,visits,pedidos,receita,unidades,productview,carrinhoadicionar,checkout,checkoutenderecolistar,checkoutpagamento,datepartition
CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,2018-10-25 18:23:32.795,"August 29, 2018",CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,"August 29, 2018, Hour 19",13,Eletrodomésticos,2878,Centrífuga de Roupas,null,null,null,3,0,0,0,1,0,0,0,0,2018-08-01
CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,2018-10-25 18:23:32.795,"August 1, 2018",CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,"August 1, 2018, Hour 0",1,TVs e Acessórios,2,Televisores,1588,Smart TV,null,106,3,5676.01,4,65,13,5,4,4,2018-08-01
CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,2018-10-25 18:23:32.795,"August 29, 2018",CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,"August 29, 2018, Hour 19",13,Eletrodomésticos,2878,Centrífuga de Roupas,null,null,Canal - Afiliados (WA),8,0,0,0,8,1,1,0,0,2018-08-01
CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,2018-10-25 18:23:32.795,"August 1, 2018",CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,"August 1, 2018, Hour 0",1,TVs e Acessórios,2,Televisores,1588,Smart TV,Canal - Afiliados (WA),1,0,0,0,1,0,0,0,0,2018-08-01
CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,2018-10-25 18:23:32.795,"August 29, 2018",CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,"August 29, 2018, Hour 19",13,Eletrodomésticos,2878,Centrífuga de Roupas,null,null,Canal - Comparador de Preço (WA),2,0,0,0,2,1,0,0,0,2018-08-01
CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,2018-10-25 18:23:32.795,"August 1, 2018",CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,"August 1, 2018, Hour 0",1,TVs e Acessórios,2,Televisores,1588,Smart TV,Canal - Comparador de Preço (WA),42,0,0,0,39,4,2,0,0,2018-08-01
CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,2018-10-25 18:23:32.795,"August 29, 2018",CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,"August 29, 2018, Hour 19",13,Eletrodomésticos,2878,Centrífuga de Roupas,null,null,Canal - Retargeting (WA),4,0,0,0,3,0,0,0,0,2018-08-01
CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,2018-10-25 18:23:32.795,"August 1, 2018",CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,"August 1, 2018, Hour 0",1,TVs e Acessórios,2,Televisores,1588,Smart TV,Canal - Email Marketing (WA),23,0,0,0,18,2,1,0,0,2018-08-01
CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,2018-10-25 18:23:32.795,"August 29, 2018",CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,"August 29, 2018, Hour 19",13,Eletrodomésticos,2878,Centrífuga de Roupas,null,null,Canal - SEM Branding (WA),6,0,0,0,3,0,0,0,0,2018-08-01
CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,2018-10-25 18:23:32.795,"August 1, 2018",CB-Mob-DeptoLinhaSubCanal-MesHora-Ago.csv,"August 1, 2018, Hour 0",1,TVs e Acessórios,2,Televisores,1588,Smart TV,Canal - Retargeting (WA),21,0,0,0,17,0,0,0,0,2018-08-01
