id|reportsuiteid|reportsuitename|data|hour|termo|quantidade|createdat
1537||CB - CasasBahia.com.br|09/08/2018|9|microondas|321|2018-08-14 15:54:07.0000000
1538||CB - CasasBahia.com.br|09/08/2018|9|sofa|427|2018-08-14 15:54:07.0000000
1539||CB - CasasBahia.com.br|09/08/2018|9|painel para tv|155|2018-08-14 15:54:07.0000000
1540||CB - CasasBahia.com.br|09/08/2018|9|armÃ¡rio de cozinha|189|2018-08-14 15:54:07.0000000
1541||CB - CasasBahia.com.br|09/08/2018|10|celular|920|2018-08-14 15:54:07.0000000
1542||CB - CasasBahia.com.br|09/08/2018|10|guarda roupas de casal|518|2018-08-14 15:54:07.0000000
1543||CB - CasasBahia.com.br|09/08/2018|10|guarda roupa|384|2018-08-14 15:54:07.0000000
1544||CB - CasasBahia.com.br|09/08/2018|10|notebook|516|2018-08-14 15:54:07.0000000
1545||CB - CasasBahia.com.br|09/08/2018|10|iphone|373|2018-08-14 15:54:07.0000000
1546||CB - CasasBahia.com.br|09/08/2018|10|geladeira|484|2018-08-14 15:54:07.0000000
1547||CB - CasasBahia.com.br|09/08/2018|10|microondas|336|2018-08-14 15:54:07.0000000
1548||CB - CasasBahia.com.br|09/08/2018|10|sofa|451|2018-08-14 15:54:07.0000000
1549||CB - CasasBahia.com.br|09/08/2018|10|painel para tv|411|2018-08-14 15:54:07.0000000
1550||CB - CasasBahia.com.br|09/08/2018|10|armÃ¡rio de cozinha|209|2018-08-14 15:54:07.0000000
1551||CB - CasasBahia.com.br|09/08/2018|11|celular|898|2018-08-14 15:54:07.0000000
1552||CB - CasasBahia.com.br|09/08/2018|11|guarda roupas de casal|515|2018-08-14 15:54:07.0000000
1553||CB - CasasBahia.com.br|09/08/2018|11|guarda roupa|676|2018-08-14 15:54:07.0000000
1554||CB - CasasBahia.com.br|09/08/2018|11|notebook|579|2018-08-14 15:54:07.0000000
1555||CB - CasasBahia.com.br|09/08/2018|11|iphone|368|2018-08-14 15:54:07.0000000
1556||CB - CasasBahia.com.br|09/08/2018|11|geladeira|415|2018-08-14 15:54:07.0000000
1557||CB - CasasBahia.com.br|09/08/2018|11|microondas|328|2018-08-14 15:54:07.0000000
